 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
Warum steht in der Kathedrale von Liverpool eine öffentliche Telefonzelle?;Gilbert Scott war Architekt dieser 1903 errichteten Kathedrale. Er hat auch die weltberühmten roten englischen Telefonzellen entworfen. Zu seinem Gedenken steht seit 1924 eine der Originaltelefonzellen in der Kathedrale.;
Warum steht in der Kathedrale von Winchester eine Bronzestatue, die einen Helmtaucher zeigt?;Anfang des 20 Jhd. drohte ein Teil der Kathedrale durch den nachgebenden Boden abzusinken. Als das Fundament verstärkt wurde, stieg der Wasserspiegel und die Arbeiten mussten unter Wasser fortgesetzt werden. 1906-1911 verstärkte ein englischer Helmtaucher das Fundament mit Zement und ihm wurde dafür diese Statue gesetzt.;
Warum steht in der Wiener Ringstraße ein Fertighaus auf dem Dach eines öffentlichen Gebäudes?;(Das Fertighaus ist 100 m² groß) Bei dem öffentlichen Gebäude handelt es sich um das österreichische Parlament. Auf dem Dach dieses Gebäudes sind acht Bronzeplastiken, die gerade renoviert werden. Da man die Plastiken nicht abmontieren kann, wurde um die Bronzeplastiken ein Fertighaus gebaut, um die Plastiken bei jedem Wetter reparieren zu können.;
Warum steht in Dresden ein Haus, das auf Schienen hin und her geschoben werden kann?;(gebaut wurde das Haus 1992, zweimal im Jahr wird es verschoben) Bei dem Haus handelt es sich um ein Glashaus. In Dresden gibt es einen seltenen Baum aus Asien, der im Winter vor Kälte geschützt werden muss. Früher wurde dafür im Winter immer ein Holzhaus um den Baum aufgebaut und nach dem Winter wieder abgebaut. Heute wird im Winter einfach das Glashaus auf den Schienen hin und her geschoben, sodass es den Baum umschließt und ihn vor Kälte schützt. Nach dem Winter wird das Glashaus wieder weggeschoben.;
Warum steht in einem der beiden Glastürme der VW-Autostadt ein Schrank mit sieben Paar Damenschuhen?;(die zwei Türme sind 20 Etagen hoch, dort sind 800 Neufahrzeuge untergebracht und in einem der zwei Türme ist in der obersten Etage ein Schrank mit sieben Paar Damenschuhen) Seit Juli 2007 können bis zu sechs Personen auf einmal bis in die höchste Etage eines Glasturms mit dem Aufzug fahren, um Wolfsburg von oben anzuschauen. Normalerweise können diese Personen dann wieder mit dem Aufzug herunterfahren. Funktioniert der Aufzug aber nicht, müssen die Leute auf der Treppe runterlaufen. Da die Treppe aus Rostgitter ist, stehen dort oben Damenschuhe für Frauen mit Stöckelschuhen, damit diese besser die Treppe runter laufen können.;
Warum steht in einer österreichischen Kirche seit Juni 2002 ein rotes Auto?;(In Sigmundsherberg in Niederösterreich steht die Kirche, es ist ein roter Ford Fiesta) Hierbei handelt es sich um ein halbes Auto (nur der vordere Teil bis inklusiv den Vordersitzen steht in der Kirche), das als Betstuhl verwendet wird. Die Kirche ist die Christophorus-Kirche. Christophorus ist der Schutzpatron der Autofahrer. Autofahrer können sich somit auf dem Vordersitz des roten Ford Fiesta einen Segen erbitten. Das halbe Auto wurde gesponsert.;
Warum steht in einer österreichischen Kirche seit Juni 2002 ein rotes Auto?;Die Kirche ist nach dem Heiligen Christopherus benannt (dem Schutzheiligen der Autofahrer). Autofahrer können dort das halbe Auto als Betstuhl verwenden und sich Hilfe erbitten.;
Warum steht in Gambia immer am letzten Samstag jedes Monats das gesamte öffentliche Leben für vier Stunden still?;Zwischen 9 und 13 Uhr an jedem letzten Samstag im Monat herrscht Fahrverbot und es finden keinerlei Veranstaltungen statt. Die Regierung von Gambia sorgt per Gesetz dafür, dass in dieser Zeit alle Bürger putzen (ihre eigenen Häuser, aber auch öffentliche Plätze und Straßen). Diese Tage heißen offiziell cleaning day“.;
Warum steht in jedem österreichischen Telefonbuch ein erfundener Teilnehmer mit erfundener Handynummer?;Es handelt sich um eine Fake-Nummer, um zu prüfen, ob die Nummern aus dem Telefonbuch im Ausland für Telefon-CDs missbraucht werden. Dann kann man beweisen, dass der Hersteller auf die geschützten Daten zugegriffen hat.;
Warum steht mitten in der texanischen Wüste ein 8 km langer Zaun?;Dieser Zaun wurde um eine Teststrecke von Daimler-Chrysler errichtet. Auf dieser Strecke fuhren Autos tagelang mit bis zu 260km/h. Da bei dieser Geschwindigkeit keine Tiere auf die Strecke dürfen,  wurde dieser Zaun errichtet.;
Warum steht mitten in Prag eine Fußgängerampel, obwohl an dieser Stelle weder Autos noch Motorräder fahren?;Diese Ampel ist vor einer sehr engen Gasse (ein Zugang zu einem Lokal). Die Gasse ist so eng, dass immer nur eine Person durchgehen kann. Deshalb muss man bevor man durchgeht diese Ampel betätigen.;
Warum steht vor dem Capitol in Washington ein Mann, der von morgens bis abends die US-Flagge hisst und wieder einholt?;Besucher können diese Flagge für 22 Dollar kaufen, die schon einmal vor dem Capitol geweht hat… (pro Jahr werden ca. 100.000 Fahnen verkauft);
Warum steigt in China einmal im Jahr der Verkauf von Windeln sprunghaft an?;In China ist es Tradition, dass man zum Neujahrsfest nach Hause zu seiner Familie fährt. Deshalb waren im Januar 2009 rund 250 Millionen Chinesen auf dem Weg in ihre Heimatdörfer, davon fast 200 Millionen mit der Bahn. Auf dem Schwarzmarkt werden um diese Zeit weit mehr Tickets verkauft als Plätze in den Zügen vorhanden sind. Deshalb sind die Züge kurz vor dem Neujahrsfest immer gerammelt voll und es gibt kaum eine Möglichkeit während der Fahrt einmal aufs Klo zu gehen (weil sie ständig besetzt sind). Weil sich viele aus diesem Grund eine Windel anziehen um sich während der Fahrt trotzdem erleichtern zu können, steigt der Verkauf von Windeln sprunghaft an.;
Warum stellen die Katholiken im Allgäu bisweilen Besen in ihre Kapellen?;Katholiken, die unter einer Hautkrankheit leiden, stellen Reisigbesen in ihre Kapellen. Das geht auf den Glauben zurück, als in Deutschland die Pest herrschte. Zu dieser Zeit wurden Reisigbesen als Symbol der Reinigung in die Kapellen gestellt.;
Warum stellen Jäger in regelmäßigen Abständen Plastikdosen im Wald auf?;In diesen Dosen ist jeweils eine Uhr, die stehen bleibt, wenn sie umfällt. An der von der Uhr angezeigten Zeit sieht man dann, um welche Uhrzeit dort ein Tier war.;
Warum stellen Katholiken im Allgäu bisweilen Besen in ihre Kapellen?;Als in Deutschland die Pest wütete, stellten die Leute Reisigbesen in die Kapellen als Symbole der Reinigung. Heute noch stellen manche Katholiken Besen in die Kapellen, wenn sie an einer Hautkrankheit leiden.;
Warum stellen sich Einsiedlerkrebse in einer Reihe auf?;Die Einsiedlerkrebse stellen sich der Größe nach auf, um ihre Häuser zu tauschen. Der größte legt sein Haus ab, wenn er ein passendes gefunden hat. Der Reihe nach legen die Einsiedlerkrebse dann jeweils ihr Haus ab und nehmen das des nächstgrößeren Krebses.;
Warum stellte die Fachhochschule Gelsenkirchen der Stadt Hamburg 13 Gläser Pflaumenmus in Rechnung?;Mit dem Pflaumenmus sollte Kot simuliert werden. Das Labor für Sanitärtechnik der Fachhochschule Gelsenkirchen sollte im Auftrag der Stadt Hamburg Toiletten auf ihre Spüleigenschaft testen. Das Labor testete Toiletten verschiedener Hersteller, mit welcher am besten Wasser gespart wird. Die Stadt Hamburg will in öffentlichen Toiletten nämlich wassersparende Kloschüsseln einbauen. Mit dem Pflaumenmus wurde der Kot simuliert. Daher stellte die Fachhochschule der Stadt Hamburg 13 Gläser Pflaumenmus in Rechnung.;
Warum stellte die Polizei Schwaben-Nord einen Verkehrsunfall mit Spielzeugfiguren nach?;Um einen spektakulären Unfall als lehrreiches Video im Internet zu verbreiten.;
Warum stellte die Polizei von Neuwied direkt am Rheinufer einen lebensgroßen Stofftier-Pinguin auf?;Dieser Pinguin wurde (am Ufer liegend) für eine Wasserleiche gehalten. Da er sich so mit Wasser voll gesogen hatte, war er so schwer, dass die Polizisten ihn nicht zu Fuß von der schwer zugänglichen Stelle entfernen konnten. Deshalb stellten sie ihn so auf, dass man erkennt, dass es ein Pinguin ist und keine Wasserleiche.;
Warum sterben mehr Männer als Frauen bei einem Blitz;Männer halten sich durchschnittlich mehr draußen im Freien auf als Frauen (US-Studie: Zwischen 1959-1994 waren von 339 Todesopfern 80% männlich);
Warum stieg der Aktienkurs eines südkoreanischen Kondomherstellers im Februar 2015 rapide an?;Es gab seit 1953 in Südkorea ein Gesetz, welches Ehebruch mit bis zu 2 Jahren Haft bestrafte. Diese Gesetzt wurde im Februar 2015 vom Verfassungsgericht aufgehoben. Viele Anleger setzten nun auf den Lokalen Kondomherstellers Unidus, weshalb die Aktie nach Verkündung der Urteils einen Sprung von 15% machte.;
Warum stöhnen britische Marathonläufer oft kurz vor dem Ziel: „God save the Queen“?;Olympische Spiele: London (1908)- Marathonstrecke bis zur Königsloge verlängert;
Warum stolperten die Bürger von Lyon im November 2003 über Abertausende von Hundehaufen?;Die Stadtverwaltung ließ 10.000 künstliche Hundehaufen auslegen, um Hundehalter an eine neue Verordnung zu erinnern, die die Hundebesitzer verpflichtet, die Kothaufen ihrer Tiere zu beseitigen.;
Warum stopfen verschiedene Vogelarten in Stadtnähe ihre Nester mit Zigarettenstummeln?;Zigaretten enthalten Giftstoffe wie Teer und Nikotin, die wie ein Pestizid das Nest vor Parasiten schützen.;
Warum stoppt ein Fahrstuhl im Sheraton-Hotel Tel Aviv ein Mal die Woche für 24 Stunden in jeder Etage?;Dieser Sabbat-Aufzug ist für Juden, die an diesem Tag keine elektrischen Geräte benutzen sollen – also auch keinen Aufzugsknopf zu betätigen.;
Warum stoßen einige Isländer bei einem Treffen ihre Smartphones aneinander?;Um per App festzustellen, ob sie miteinander verwandt sind.;
Warum stößt der Kutscher vom Europa-Park Rust zwei Mal am Tag einen gellenden Pfiff aus?;Die Pferde sind so dressiert, dass sie erst dann pinkeln,  wenn der Kutscher pfeift (sie stehen dann über einem Abflussdeckel).;
Warum streckt die Ameisenspinne ihre Vorderbeine nach oben, wenn sie Hunger hat?;Wenn sie das tun, sehen die Vorderbeine aus wie die Fühler einer Ameise und sie kann echte Ameisen anlocken und fressen.;
Warum streckt ein brasilianischer Frosch seine Hinterbeine in die Luft, wenn er sich in Wassernähe aufhält?;Diese Frösche halten sich vor allem an rauschenden Gebirgsbächen oder in der Nähe von Wasserquellen auf. Dadurch hören die Weibchen das Quaken der Männchen nicht. Um den Weibchen zu signalisieren, dass es sie gibt, strecken die Männchen deshalb ihre Hinterbeine in die Luft;
Warum streift der australische Katholikenfrosch während der Regenzeit einmal pro Woche seine Haut ab und frisst sie auf?;(Der Name kommt von dem dunklen Kreuz auf dem Rücken des Frosches. Zwischen November und April häutet er sich zirka einmal pro Woche) Wenn es trocken ist gräbt sich dieser Frosch in die Erde ein. Zur Regenzeit kommt er wieder an die Erdoberfläche. Dort gibt es viele Ameisen, die sich in seiner Haut verbeißen. Über Drüsen sondert der Frosch dann ein klebriges Sekret ab, so dass die Ameisen auf seiner Haut kleben bleiben. Sobald das Sekret trocken ist, streift er seine Haut ab und frisst sie samt Ameisen auf.;
Warum streiften im Frühjahr 2009 zwanzig Schweizer Soldaten mit weißen Handtüchern durch Wald und Flur?;Es handelt sich bei diesen Soldaten um Mitglieder der ABC-Abwehr (Abwehreinheit für chemische und biologische Kampfstoffe). Im Auftrag des Bundesamtes für Bevölkerungsschutz durchstreiften sie mit den Handtüchern ausgesuchte Waldgebiete. Sie zogen die Handtücher über Gräser und Büsche- alle 10 Minuten wurden die Handtücher akribisch genau nach Zecken abgesucht. Die Zecken wurden eingesammelt und die Daten wurden genutzt um eine „Zeckenkarte“ zu erstellen. Auf dieser Karte ist zu sehen in welchen Gebieten sich Zecken mit dem FSME-Erreger befinden.;
Warum studieren Ingenieure eines Reifenherstellers seit 2003 das Schwimmverhalten eines 30-jährigen Delfins?;(6 Ingenieure von Bridgestone machen das) Der Delfin hat auf Grund einer Krankheit nur noch ein Viertel seiner Schwanzflosse. Er kann so zwar noch schwimmen, aber nicht mehr springen. Daher hat er seit 2002 eine künstliche Schwanzflosse aus Gummi, die ihm die Ingenieure des Reifenherstellers entwickelt haben. Seitdem wir immer an Verbesserungen der künstlichen Gummischwanzflosse gearbeitet. So kommt es, dass Ingenieure das Schwimmverhalten eines Delfins studieren.;
Warum stürmen seit 12 Jahren immer wieder Leute in eine Züricher Apotheke und trällern ein Liedchen?;Immer wieder kamen früher Leute nur in diese Apotheke, weil sie Geld wechseln wollten um die Parkuhren davor mit 50-Rappen-Münzen zu füttern. Vor 12 Jahren hatte der Apotheker genug davon und stellte ein Schild in sein Schaufenster auf dem steht: „Geldwechsel nur noch, wenn Sie etwas kaufen. Ersatzweise können Sie auch ein Lied singen“. So kommt es, dass Leute in diese Apotheke kommen und ein Lied singen (meistens „Alle meine Entlein“);
Warum stürmten 1974 Fernsehzuschauer eine Live-Sendung und gaben ihre mitgebrachten TV-Geräte ab?;In der Sendung „Am laufenden Band“, blickte Rudi Carell 30 sek. lang in die Kamera und forderte die Zuschauer auf sein Portrait auf den Fernseher zu zeichnen und einzuschicken, um einen neuen Fernseher zu bekommen- (Verlosung) Manche wollten nicht solange warten und brachten ihren Fernseher direkt in die Sendung.;
Warum stützen sich in Dresden immer wieder Menschen mit den Ellbogen auf ein Geländer und halten sich die Ohren zu?;Das Geländer hat eingebaute Körperschallwandler. Diese übertragen Schallwellen nur, bei Körperkontakt mit dem Geländer (z.B. in dem man die Ellbogen aufstützt und sich die Ohren zu hält). Dann erst werden die sonst nicht hörbaren Schallwellen über die Knochen der Arme und Hände bis zum Ohr weitergeleitet und man kann die ins Geländer eingespielten Geräusche hören: Man hört Fliegeralarm und Bombenexplosionen – in Erinnerung an den 13.02.1945, als Dresden zerstört wurde.;
Warum tanken Singapurs Autofahrer neuerdings noch schnell, bevor sie die Grenze nach Malaysia überqueren?;In Malaysia ist das Benzin wesentlich billiger als in Singapur. Immer wenn man über die Grenze fährt, prüfen Zöllner den Füllstand des Tanks. Wenn der Tank nicht mindestens 3/4 voll ist, muss man 250 EUR Strafe zahlen und wird zurückgeschickt.;
Warum taucht die DDR 1994 noch einmal offiziell in der Siegerliste eines internationalen Sportwettbewerbes auf?;1987 begann die 10.Fernschacholympiade, bei der man die Züge per Postkarte mitteilte. Eine Partie dauerte normalerweise ca. 1 Jahr. Durch den Zusammenbruch der Oststaaten kam der Postverkehr ins Stocken.;
Warum tauchten bei einem Konzert der „Ärzte“ 1984 zahlreiche Leute auf, die Blut spenden wollten?;Es handelt sich dabei um eine Bonus-CD zum Album „Wir wollen nur deine Seele“.  Darauf befinden sich Konzertansagen und andere Nonsens-Texte der Band. Da der Tonträger nur Platz für 21 Minuten hatte, wurde einfach die alte Monotechnik angewendet: die ersten 21 Minuten hört man, wenn man den Balanceregler ganz nach links dreht, die zweiten 21 Minuten, wenn man ihn nach rechts dreht. Durch diesen Trick gelangten auf eine Mini-CD mit einem Fassungsvermögen von 21 Minuten summa summarum 42 Minuten!;
Warum teilen die Beamten des belgischen Polizeireviers Genk ihr Mittagsessen mit Kleinkriminellen?;Die Kleinkriminellen sind höchstens 24h dort (danach werden woanders hin gebracht). Für jeden Gefangenen steht aber nur 1,50 Euro pro Tag zu Verfügung. Die Gefangen müssen laut Gesetz verpflegt werden, aber kein Restaurant will zu diesen Preisen liefern, deshalb teilen die Polizisten ihr Essen.;
Warum terrorisiert die Nacktmull-Königin ihre weiblichen Artgenossen, indem sie ständig auf ihnen herumtrampelt?;Dadurch bekommen die weiblichen Artgenossen Stress und können selbst keine Nachkommen mehr bekommen, sondern nur noch die Nacktmull-Königin selbst.;
Warum testet die Bundeswehr zurzeit ganz besondere Uniformen mit dynamischem Hemd- und Hosenumfang?;Es handelt sich dabei um Umstandsuniformen für schwangere Soldatinnen.;
Warum testet die kalifornische Winkerkrabbe bis zu einhundert Männchen, bevor sie sich für eines entscheidet?;Weil die Öffnung der Nisthöhlen, die die Männchen bauen, genau für die Körpergröße der Weibchen passen müssen.;
Warum töten Grizzlybären Lachse, die sie hinterher nicht auffressen?;Die Grizzlys fressen sich erst einmal an den Lachsen satt. Wenn sie keinen Hunger mehr haben, fangen sie trotzdem weiter Lachse. Wenn es Weibchen sind, fressen sie deren Rogen (Eier) quasi als Delikatesse, den Rest schmeißen sie weg.;
Warum tragen Ärzte und Krankenschwestern in einem Krankenhaus in Yuanlin, Taiwan, rosafarbene Uniformen?;"Das ganze Krankenhaus wurde im ""Hello Kitty""-Stil eingerichtet.";
Warum tragen bei unserem (dt.) Monopoly die Straßen nicht die Straßennamen einer wirklichen (dt.) Stadt?;Als Monopoly 1935 auf den deutschen Markt kam, trugen die Straßen und Plätze noch wirkliche Namen aus Berlin. 1936 fühlte sich Propagandaminister Göbbels provoziert, weil das damalige Berliner Prominentenviertel Schwanenwerder mit einigen Straßen in dem Spiel vorkam, auf denen die Spieler beim Betreten extreme Wuchermieten zahlen mussten. Er lies das Spiel aus dem Verkehr ziehen. Kurz darauf kam es mit neuen Straßennamen wieder auf den Markt, die bis heute nicht verändert wurden.;
Warum tragen Billard-Spieler bei offiziellen Wettkämpfen immer eine Fliege um den Hals?;Förmliche Kleidung ist bei Billard-Turnieren traditionell vorgeschrieben. Krawatten wären da sehr hinderlich, weil jede Berührung der Kugeln – vom Billardstock abgesehen – nach den Regeln als „Foul“ geahndet wird.;
Warum tragen Croupiers ihren Dienstsmoking nie privat?;Weil die Taschen zugenäht sind (damit man ihnen am Spieltisch nichts zustecken kann);
Warum tragen die Insassen im Gefängnis von Phoenix/Arizona rosarote Unterhosen?;Bis 1994 trugen die Insassen noch normale weiße Unterhosen. Diese waren sehr begehrt, besonders am Tag der Entlassung. Manche zogen sich an diesem Tag bis zu 10 Unterhosen übereinander an, verließen das Gefängnis und konnten sie draußen für bis zu 10 $ verkaufen, da auf der Rückseite das Originallogo des Gefängnisses war. Im Jahre 1994 belief sich der Schaden schon auf 50.000 $. So entschloss der Direktor des Gefängnisses die Unterhosen rosa einzufärben. So wollte draußen niemand mehr die Unterhosen. Bei der Entlassung muss jeder Insasse zeigen, dass er keine rosarote Unterhosen trägt, sonst müsste er sie auf der Stelle ausziehen. So werden die Unterhosendiebe entlarvt.;
Warum tragen einige Tierpfleger im Wiener Zoo Schönbrunn bei der Arbeit Sturzhelme auf dem Kopf?;(Der Wiener Tiergarten ist der älteste der Welt. Dort gibt es Tierpfleger, die Sturzhelme und Overalls bei ihren Tieren tragen, das Tier ist der Vogel Waldrapp);
Warum tragen Fluglotsen auf dem Stockholmer Flughafen an beiden Handgelenken Stretcharmbänder mit einer Kugel?;Der Tower des Stockholmer Flughafens ist 83 Meter hoch. Bei Wind schwankt dieser Tower, sodass man seekrank werden kann. Die Armbänder mit der Kugel wirken auf einen Akupressurpunkt am Handgelenk und verhindern das Auftreten von Übelkeit.;
Warum tragen Frauen von heute neuerdings kleine Würfel aus Gummi in ihrer Handtasche mit sich herum?;Diese Würfel haben ein Loch, um sie auf die Absätze von Stöckelschuhen zu stecken. So sollen die Absätze geschützt werden.;
Warum tragen männliche Besucher des Wiener Opernballs alle weiße Fliegen?;Damit die Gäste nicht mit den Kellnern verwechselt werden, die wiederum alle schwarze Fliegen tragen.;
Warum tragen Millionen von Thailändern jeden Montag ein gelbes T-Shirt?;Weil der Thailändische König an einem Montag geboren wurde und für diesen Tag die Farbe gelb steht, tragen viele als Ehrerbietung gelbe T-Shirts.;
Warum tragen Pinguine einen Frack?;Zur Tarnung: Wenn er schwimmt, sieht man ihn von oben nicht (weil er oben schwarz ist) und von unten sieht man ihn nicht, weil man gegen das Licht sieht (und er weiß ist).;
Warum tragen Zimmerleute Westen mit acht und Jacken mit sechs Knöpfen?;Die Knöpfe stehen für: 8 Stunden Arbeit pro Tag und 6 Tage Arbeit pro Woche.;
Warum tragen zwei Dörfer in Brandenburg die Namen Boston und Philadelphia?;Zur Zeit Friedrich des Großen gab es eine große Auswanderungswelle. Er bot den Auswanderern unbebautes Ackerland an, um dies zu bewirtschaften. Sie blieben und erhielten die Erlaubnis, die Orte so zu benennen, wo sie eigentlich hin wollten.;
Warum trägt beim FC Bayern München kein Spieler die Rückennummer 12?;Diese Nummer ist symbolisch für die Zuschauer (den „12 Mann auf dem Spielfeld“) reserviert.;
Warum trägt das Krabbenmännchen das Weibchen tagelang mit sich herum, bevor es zum Sex kommt?;Nur wenn das Krabbenweibchen seinen Panzer ablegt, werden die zwei Geschlechtsöffnungen frei, in die das Männchen seine Spermien platzieren kann. Ein paar Tage bevor das Weibchen ihren Panzer ablegt, sendet es Lockstoffe aus. Das Männchen packt sich das Weibchen und lässt es nicht mehr los, damit es das Häuten nicht verpasst und dann das Weibchen befruchten kann.;
Warum traten in Schweden am 3.9.1967 morgens um 4:50 Uhr alle Autofahrer auf die Bremse?;Es wurde von Links- auf Rechtsverkehr umgestellt. Alle mussten an den Rand fahren und die Straßenseite wechseln und durften um 5 Uhr weiterfahren.;
Warum träumten viele Ossis vom „Dübener Ei“?;Es war ein Wohnwagen in eiförmigem Design, der in Düben hergestellt wurde. Er versprach ein Stück Freiheit.;
Warum treffen sich jedes Jahr im August 150 Schützen am Prebersee, um dort ins Wasser zu schießen?;Wettbewerb: Am Ufer des Sees steht in ca. 120 Meter Entfernung die Zielscheibe. Die Schützen schießen auf das Spiegelbild im Wasser. Die Kugeln sollen so ins Wasser geschossen werden, dass sie auf das Ziel am Ufer abgelenkt werden.;
Warum treffen sich Studenten und Professoren der Uni München einmal im Jahr auf einem Friedhof?;An diesem Tag werden die Urnen von Verstorbenen bestattet, die sich der medizinischen Forschung zur Verfügung gestellt haben.;
Warum trennte sich die FDP auf ihrem Parteitag 2001 von den Pünktchen hinter den Buchstaben F.D.P.?;Weil im Internet Domainadressen mit Punkten (im Namen) nicht erlaubt sind.;
Warum treten bei einem traditionellen Fußball-Turnier in Brasilien alle Teams mit elf Männern und einer Frau an?;Parallel zu diesem Fußballturnier findet ein Schönheitswettbewerb statt. Jede Frau die bei diesem Schönheitswettbewerb antritt „gehört“ zu einer Mannschaft. Wenn ein Team beim Turnier auszuscheiden droht, die Frau aber beim Schönheitswettbewerb weiterkommt, bleibt das Team weiterhin im Turnier.;
Warum trommelt das Männchen der Kellerspinne beim Sex rhythmisch auf dem Netz des Weibchens herum?;Damit es vom Weibchen nicht für ein im Netz gefangenes Beutetier (die keine rhythmischen Schwingungen erzeugen) gehalten und gefressen wird.;
Warum trommelt der Glanzkäfer mit seinen Fühlern gerne auf den Köpfen von Ameisen herum?;Wenn eine Ameise Hunger hat, klopft sie einer anderen auf den Kop. Diese würgt dann etwas Essen hervor. Das nützt der Glanzkäfer aus, indem er auch Ameisen auf dem Kopf trommelt, wenn er Hunger hat.;
Warum trugen Anfang des 20. Jh. Menschen in den USA Schuhe mit Sohlen, die Kuhhufen nachempfunden waren?;Zum Spurenverwischen beim Alkoholschmuggel.;
Warum trugen die ersten Fußballer 1857 in England während des Spiels weiße Handschuhe?;Die englischen Gentleman wollten sich gegen das proletarische Rugby absetzen. Die Handschuhe waren auch Zeichen dafür, dass mit der Hand gespielt wurde.;
Warum tummelten sich 1992 zahlreiche Flamingos in einem öffentlichen Klohäuschen in Miami?;Während des Hurrikans Andrew wurden die Flamingos eines Zoos in einem Klohäuschen in Sicherheit gebracht. Das Häuschen wurde dafür mit Stroh ausgelegt.;
Warum übernahm im August 2015 der 3-jährige James Tufts für ein Jahr das Bürgermeisteramt der Gemeinde Dorset im US-Staat Minnesota?;Das Bürgermeister-Amt wurde bei einer Tombola ausgelost.;
Warum unterhält ein amerikanischer Speiseeis-Hersteller einen firmeneigenen Friedhof?;Für die Eissorten, die kein Erfolg wurden und aus dem Angebot genommen wurden.;
Warum verbot der FC Bayern München 1985 seinem Spieler Helmut Winklhofer, in der ARD-Sportschau aufzutreten?;Sein Eigentor wurde zum „Tor des Monats“ gewählt- Der Verein hielt die Einladung für eine Beleidigung;
Warum verbrachten in Hamburg jeden Tag bis zu 10 Busfahrer monatelang ihren Arbeitstag mit würfeln?;Sie spielten ein eigens entwickeltes Brettspiel, bei dem Fragen aus verschiedenen - für ihren Beruf wichtige – Wissensgebieten beantwortet werden mussten, um das Spiel zu gewinnen. Mit Hilfe dieses Spieles konnten sich also nach und nach alle Busfahrer während der Arbeitszeit – spielerisch – weiterbilden.;
Warum verbrauchen die Arbeiter einer Fabrik in Schwaan/Mecklenburg-Vorpommern täglich rund 70 „Billy-Boy“ – Kondome?;In dieser Fabrik werden Wurstpellen hergestellt. Dort werden sie auch stichprobenartig auf Reißfestigkeit getestet. Bei diesem Test wird Druckluft in die Pelle eingepumpt – weil die aber luftdurchlässig ist, muss man sie vorher über ein Kondom stülpen und das dann aufpumpen.;
Warum verdanken die Formel-1-Renner von Mercedes ihren Namen „Silberpfeile“ einem Kilo übergewicht?;Das weiß lackierte Auto wog zum Eiffel-Grand-Prix 1934 ein Kilo zu viel. Die Mechaniker kratzten den Lack bis auf das Aluminium ab, um das zulässige Gewicht zu erreichen. Danach wurde der Wagen zum Rennen zugelassen.;
Warum verdankt Willy Millowitsch seinen ersten Fernsehauftritt der KPdSU?;27.10.1953 war die Live-Übertragung des Eishockeyländerspiels Deutschland-Sowjetunion aus Westberlin geplant- wegen des Aufstandes vom 17.Juli in der DDR, entschieden höchste Parteistellen in Moskau kurz vor dem Spiel, dieses abzusagen. Kurzerhand wurden drei Kamerateams in ein Kölner Theater geschickt, und der „Etappenhase“ wurde stattdessen live übertragen.;
Warum verdankte ein englischer Boxer den Sieg in einem Meisterschaftskampf einer Rentnerin, die im Publikum saß?;Als er am Boden lag stürmte seine Mutter in den Ring und schlug den Gegner mit ihren Schuhen. Der Schiedsrichter unterbrach den Kampf, doch danach weigerte sich der Gegner noch weiterzukämpfen. Deshalb gewann der andere durch technisches K.O.;
Warum verdienen die Polizisten einer indischen Provinz mehr, wenn sie sich einen Schnurrbart wachsen lassen?;Weil sie mit einem Schnurrbart mehr Autorität ausstrahlen.;
Warum verdiente ein Fischer aus dem Oman 2016 mit einem einzigen Fang 2,6 Millionen Euro?;Er fand im Wasser 80 Kilo Walkotze, die er als Parfüm verkaufen konnte.;
Warum verfallen die Schauspieler eines Theaters in den USA jeden Abend sekundenlang auf der Bühne in Starre?;Das Starlight-Theatre in San Diego wird häufig von Flugzeugen überflogen, sodass die Zuschauer währenddessen nichts hören könnten. Deshalb werden die Schauspieler kurz bevor ein Flugzeug kommt;
Warum verfängt sich eine Spinne nie im eigenen Netz?;Weil sie beim Weben einige der feinen Fäden, auf denen sie selber hin- und herlaufen kann, ohne Klebstoff lässt.;
Warum verhaken sich Treibameisen so stark ineinander, dass sie tagelang nicht zum Fressen kommen?;Diese Armeisenart baut keine festen Nester, weil sie nomadisch leben. Ein Teil der Ameisenkolonie bildet also durch das ineinander haken ein „mobiles Nest“. Nach einigen Tagen werden sie von anderen Ameisen ausgetauscht, damit sie fressen können.;
Warum verhindert das Mäuseweibchen nach dem Sex mitunter gezielt das Eintreten einer Schwangerschaft?;Wenn es innerhalb von 48 Stunden nach der Befruchtung eines Männchens von einem anderen Männchen befruchtet wird, kann es die vorige Schwangerschaft abbrechen, weil das Männchen die Nachkommen auffressen würde, wenn es nicht seine sind.;
Warum verkaufen Hamburger Busfahrer ihren Fahrgästen Fotos von sich?;Die Hamburger Verkehrsbetriebe wollen das Verhältnis zu ihren Kunden verbessern. Dazu haben sie ein Heft erstellt, in dem Infos (zum Beispiel Name, Lieblingsstrecke) über die Busfahrer drinstehen. Ebenfalls käuflich zu erwerben gibt es Fotos der Busfahrer, die dann in das Heft eingeklebt werden können. So kommt es, dass Busfahrer ihren Fahrgästen Fotos von sich verkaufen. Es gibt auch Herzchen zum anstecken zu kaufen. Steckt man sich das Herzchen an, zeigt man, dass man solch ein Heft hat und Busfahrer-Fotos tauscht.;
